등급,코스트,책장/주사위,,,특수효과,
,,방어,2,6,,
,,방어,2,5,,
,,타격,2,6,,
보급,2,테스트 좀 해볼까,,,,
,,방어,2,6,합 승리,대상의 다음 주사위 약화
,,참격,2,4,,
,,참격,2,3,,
보급,2,터터트려,,,,
,,관통,1,6,적중,다음 막에 마비 1 부여
,,타격,2,5,,
고급,2,퍼퍼석퍼석,,,사용시,다음 막에 힘 2를 얻음
,,참격,2,4,,
,,회피,3,4,,
보급,2,저절단,,,,
,,관통,2,3,,
,,참격,1,1,,
,,참격,3,3,,
한정,2,압도,,,,
,,관통,5,6,적중,다음 막에 출혈 2 부여
,,참격,2,3,,
보급,2,먼저간다,,,,
,,회피,1,7,,
,,관통,2,2,적중,다음 막에 출혈 1 부여
,,관통,2,6,적중,다음 막에 출혈 1 부여
고급,2,받아내보시지,,,,
,,타격,3,5,합 승리,대상의 다음 주사위 약화
,,관통,3,4,적중,다음 막에 출혈 2 부여
고급,2,난도질,,,,
,,참격,1,6,적중,체력 1 회복
,,참격,2,6,적중,체력 1 회복
보급,3,집중공격,,,,
,,참격,3,5,,
,,참격,3,5,,
,,관통,1,3,,
한정,3,내장담기,,,,
,,참격,3,6,적중,다음 막에 출혈 1 부여
,,참격,3,5,적중,다음 막에 출혈 1 부여
,,방어,1,4,,
한정,3,진두지휘,,,사용시,모든 아군에게 다음 막에 보호 1 부여
,,타격,4,8,,
,,방어,3,4,,
,,관통,3,4,,
한정,3,이인생 한 방,,,,
,,타격,1,12,적중,다음 막에 마비 2 부여
고급,3,광란,,,,
,,타격,2,4,적중,다음 막에 출혈 1 부여
,,관통,3,5,적중,다음 막에 출혈 1 부여
,,참격,3,5,,
II 도시괴담,,,,,,
보급,0,막치기,,, , 
,,타격,1,5, , 
고급,0,갈증,,, , 
,,관통,3,4,적중,출혈 1 부여
보급,0,자료수집,,, , 
,,참격,2,6,적중,화상 1 부여
보급,1,연속 방어,,, , 
,,방어,1,5, , 
,,방어,3,5, , 
,,타격,1,4, , 
보급,1,속공,,,사용시,다음 막에 신속 2를 얻음
,,관통,2,3, , 
,,타격,2,3, , 
한정,1,싱싱하게,,, , 
,,참격,3,4, , 
,,회피,1,12, , 
보급,1,재료 손질,,, , 
,,타격,1,6,적중,다음 막에 마비 1 부여
,,회피,1,4, , 
고급,1,요리 준비,,, , 
,,방어,4,5, , 
,,관통,3,5,적중,출혈 2 부여
고급,1,잔혹함,,, , 
,,타격,2,6,적중,대상의 출혈 수만큼 HP 회복
,,방어,2,3, , 
한정,1,쳐내기,,, , 
,,방어,3,4, , 
,,타격,1,4,적중,다음 막에 마비 1 부여
,,참격,1,4, , 
고급,1,마음가짐,,, , 
,,방어,2,4,합 승리,다음 막에 인내 1을 얻음
,,참격,2,6, , 
고급,1,불빠따 맛 좀 봐,,, , 
,,방어,3,4, , 
,,회피,1,8,합 승리,자신의 다음 주사위 강화
,,타격,3,3,적중,화상 2 부여
고급,1,재빠른 발걸음,,, , 
,,참격,2,3, , 
,,회피,1,6,방어시,체력 2 회복
,,회피,1,4,방어시,체력 2 회복
보급,1,마음가짐,,, , 
,,방어,1,6,합 승리,다음 막에 인내 1을 얻음
,,타격,4,5, , 
보급,2,연속 타격,,, , 
,,관통,1,6,합 승리,자신의 다음 주사위 강화
,,타격,1,2,합 승리,자신의 다음 주사위 강화
,,타격,1,2, , 
한정,2,무엇이든 요리할 수 있지,,, , 
,,관통,1,6, , 
,,참격,4,4,적중,체력 4 회복
보급,2,재료 사냥,,, , 
,,참격,2,6,적중,다음 막에 속박 2 부여
,,타격,2,5, , 
한정,2,불태우기,,, , 
,,타격,3,5,적중,"화상 3 부여, 자신에게 피해 3"
,,타격,3,5,적중,"화상 3 부여, 자신에게 피해 3"
보급,3,강타,,, , 
,,타격,5,7, , 
,,타격,3,4, , 
보급,3,연속공격,,, , 
,,타격,1,5, , 
,,참격,2,6, , 
,,참격,3,6, , 
III 도시전설,,,,,,
보급,0,견제,,, , 
,,참격,1,3, , 
,,타격,1,4, , 
보급,0,치안 수호,,, , 
,,참격,2,6,합 승리,대상에게 피해 2
한정,0,잠깐!,,,사용시,빛 1 회복
,,관통,2,3, , 
고급,0,손 풀기,,, , 
,,타격,2,6,적중,빛 1 회복
보급,1,예리한 일격,,, , 
,,관통,3,6, , 
보급,1,후방공격,,, , 
,,회피,1,8, , 
,,타격,2,3, , 
,,참격,1,4, , 
보급,1,맞서기,,, , 
,,참격,1,6,적중,체력 2 회복
,,타격,2,3, , 
고급,1,고요한 밤,,,사용시,다음 막에 인내 2를 얻음
,,회피,1,6, , 
,,참격,1,4, , 
,,관통,1,4, , 
한정,1,울타리,,,사용시,모든 아군에게 다음 막에 보호 1 부여
,,회피,1,6, , 
,,참격,1,6, , 
,,방어,3,4, , 
한정,1,수호자,,,사용시,모든 아군에게 다음 막에 인내 1 부여
,,타격,1,5, , 
,,참격,1,6, , 
보급,1,흘려치기,,, , 
,,방어,2,4, , 
,,참격,3,5,적중,다음 막에 속박 2 부여
한정,1,맹습,,,사용시,비용이 가장 낮은 책장 1장을 버림
,,관통,2,3, , 
,,참격,2,3, , 
,,관통,1,6, , 
한정,1,도박수,,,사용시,비용이 가장 낮은 책장 1장을 버림
,,참격,3,6, , 
,,타격,3,6, , 
고급,1,침착하게,,, ,이 책장을 버리면 책장을 1장 뽑음
,,참격,2,4, , 
,,관통,2,3, , 
,,타격,2,3, , 
보급,1,신속보법,,, , 
,,회피,1,8, , 
,,참격,2,8, , 
보급,1,가르기,,, , 
,,참격,1,3, , 
,,참격,1,4, , 
,,관통,1,3, , 
고급,1,가볍게,,, , 
,,타격,2,4, , 
,,참격,2,6, , 
보급,2,작렬,,,사용시,"비용이 가장 낮은 책장 1장을 버림, 빛 2 회복"
,,타격,3,5, , 
,,관통,3,4, , 
한정,2,업무처리,,, , 
,,참격,2,6,합 승리,자신의 다음 주사위 강화
,,참격,3,4,합 승리,자신의 다음 주사위 강화
,,방어,2,6, , 
고급,2,당신의 방패,,, , 
,,방어,2,4,합 승리,대상에게 피해 2
,,참격,2,5, , 
,,참격,2,5, , 
한정,2,전투 준비,,,사용시,모든 아군에게 다음 막에 인내 2 부여
,,참격,3,4, , 
,,방어,2,4, , 
,,회피,1,8, , 
고급,2,회전베기,,, , 
,,관통,3,6,적중,다음 막에 마비 1 부여
,,참격,2,5,적중,다음 막에 출혈 1 부여
,,참격,1,2,,
고급,2,제압,,, , 
,,타격,5,7, , 
,,관통,2,4, , 
한정,2,끝내주지,,, , 
,,타격,4,6,적중,다음 막에 마비 1 부여
,,참격,3,5,적중,다음 막에 마비 1 부여
한정,2,충격 강타,,, , 
,,타격,4,12, , 
고급,2,파괴 일격,,, , 
,,참격,1,15, , 
보급,2,난입,,, , 
,,타격,3,6, , 
,,회피,1,6, , 
,,관통,3,4, , 
보급,2,으깨기,,, , 
,,타격,3,6,적중,다음 막에 출혈 2 부여
,,타격,3,5, , 
고급,3,역습,,, , 
,,회피,1,10,합 승리,자신의 다음 주사위 강화
,,관통,4,5, , 
,,관통,3,4, , 
고급,3,과감한 판단,,,사용시,모든 책장을 버림
,,참격,4,8, , 
,,관통,4,8, , 
,,타격,3,5, , 
예술,3,됐고!,,,사용시,모든 주사위들이 '위력 -2'를 얻음
,,타격,5,10, , 
,,참격,5,10, , 
,,타격,5,10, , 
고급,3,난투,,,사용시,모든 주사위가 제거되고 내 손에 있는 무작위 책장의 주사위로 교체됨
,,타격,3,6,적중,빛 1 회복
,,참격,2,8, , 
,,참격,3,5, , 
,,참격,3,6, , 
IV 도시질병,,,,,,
보급,0,의뢰 처리,,,,
,,참격,1,6,적중,화상 1 부여
,,방어,3,4,,
보급,0,뒷골목의 규칙,,,,
,,참격,2,8,적중,책장을 1장 뽑음
고급,0,쾌속 찌르기,,,,
,,회피,2,4,,
,,관통,1,5,,
,,관통,1,5,,
보급,0,사슬 맛 좀 볼래?,,,사용시,"다음 막에 자신에게 출혈 1 부여, 빛 1 회복"
,,참격,3,5,적중,다음 막에 출혈 1 부여
보급,0,밤일낮장,,,,이 책장을 버리면 신속 1을 얻음
,,관통,2,6,,
고급,1,맛있을 거예요?,,,,
,,참격,1,5,적중,체력 1 회복
,,회피,1,6,,
,,참격,2,4,적중,체력 1 회복
보급,1,지령대로,,,,
,,방어,2,6,합 승리,빛 1 회복
,,관통,1,4,,
보급,1,기괴한 타격,,,,
,,회피,2,5,,
,,참격,1,4,적중,대상에게 흐트러짐 피해 5
고급,1,응사,,,원거리,일회성
,,관통,1,8,적중,다음 막에 허약 1 부여
,,방어,3,5, , 
고급,1,근접전은 싫어,,,원거리,일회성
,,관통,2,6,적중,다음 막에 허약 1 부여
,,관통,2,6, , 
,,회피,3,8, , 
보급,1,발사,,,원거리,일회성
,,타격,2,6, , 
,,타격,2,6, , 
,,관통,1,5, , 
보급,1,타겟 포착,,,원거리,일회성
,,관통,2,6, , 
,,관통,2,6,적중,다음 막에 허약 1 부여
한정,1,여명의 섬광,,,사용시,책장을 1장 뽑음
,,참격,1,5, , 
,,회피,1,4,합 승리,대상의 다음 주사위 위력 -2
,,참격,1,6,적중,화상 1 부여
고급,1,기회 포착,,, , 
,,방어,3,5, , 
,,타격,1,2, ,대상이 마비 상태라면 위력+1
,,타격,1,2, ,대상이 마비 상태라면 위력+1
,,참격,1,2,,대상이 마비 상태라면 위력+1
고급,1,성가셔,,, , 
,,관통,1,5,적중,다음 막에 마비 1 부여
,,관통,2,4, , 
,,회피,1,7, , 
보급,1,피할 수 없는 시선,,, , 
,,회피,1,7, , 
,,관통,1,6,적중,다음 막에 마비 1 부여
고급,1,구름 장벽,,, , 
,,방어,2,7, , 
,,방어,2,4, , 
,,참격,2,5,적중,다음 막에 출혈 1 부여
고급,1,뒷처리,,,사용시,빛 2 회복
,,참격,2,7,적중,다음 막에 출혈 1 부여
보급,1,검은 구름,,,전투 시작,이번 막 동안 참격으로 공격 적중시 대상에게 다음 막에 출혈 1 부여
,,타격,2,6, , 
,,참격,2,5, , 
보급,1,신나는 연주,,, , 
,,타격,3,7, , 
,,참격,2,6, , 
고급,1,붉은 음표,,,전투 시작,무작위 아군 1명에게 힘 1 부여
,,타격,1,5, , 
,,타격,1,4, , 
보급,1,물러터졌구나,,,사용시,다음 막에 자신에게 출혈 1 부여
,,타격,3,6,적중,다음 막에 출혈 1 부여
,,방어,3,5,,
고급,1,정면 회피,,,,
,,회피,3,7,,
,,방어,2,7,,
고급,1,우회적 공격,,,사용시,다음 막에 자신에게 출혈 1 부여
,,방어,1,5,,
,,참격,4,7,적중,다음 막에 출혈 1 부여
보급,1,무기 손질,,,전투 시작,이번 막 동안 관통 위력 +1
,,,,,사용시,빛 1 회복
,,관통,1,7,,
보급,1,중계,,,,이 책장을 버리면 책장을 1장 뽑음
,,타격,2,5,적중,다음 막에 취약 1 부여
,,회피,1,8,,
고급,2,식사,,, , 
,,방어,5,7, , 
,,참격,3,4,적중,체력 2 회복
,,관통,1,7,적중,체력 2 회복
한정,2,멋진 실이 나올 거예요,,, , 
,,방어,4,6, , 
,,타격,1,3, ,서로의 손에 '멋진 원단' 책장 추가
,,타격,1,2, ,손에 있는 책장 수만큼 위력 증가
한정,3,멋진 원단,,, ,이 책장은 3장까지만 보유 가능
,,방어,8,8,,
,,회피,6,8,,
한정,2,무차별 사격,,,원거리,일회성
,,관통,1,8,합 패배,자신의 다음 주사위 위력+2
,,관통,1,8,합 패배,자신의 다음 주사위 위력+2
,,타격,1,8, , 
고급,2,가까이 오지마,,,원거리,일회성
,,관통,4,7, , 
,,관통,4,7,적중,다음 막에 허약 1 부여
,,방어,3,8, , 
보급,2,헤드샷,,,원거리,일회성
,,관통,5,12,적중,다음 막에 출혈 3 부여
고급,2,삶의 마침표,,, , 
,,참격,3,7, , 
,,참격,3,7,적중,다음 막에 허약 1 부여
한정,2,그림자의 건너편,,, , 
,,회피,3,7, , 
,,참격,2,5,적중,다음 막에 출혈 1 부여
,,참격,2,5,적중,다음 막에 출혈 2 부여
한정,2,나비 베기,,, , 
,,타격,2,7, , 
,,방어,3,5, , 
,,참격,2,6,적중,화상 2 부여
고급,2,사출,,, , 
,,관통,3,5, ,대상의 현재 주사위 위력 -1
,,관통,3,5, ,대상의 현재 주사위 위력 -1
,,방어,2,4, , 
보급,2,노을빛 검,,, , 
,,참격,1,6,적중,화상 1 부여
,,참격,1,5,적중,화상 1 부여
,,타격,2,7,적중,화상 1 부여
고급,2,낙인,,,사용시,부정 감정 1 누적
,,관통,3,6,적중,화상 1 부여
,,관통,3,7,적중,화상 1 부여
한정,2,파지지직,,, , 
,,방어,2,7,합 승리,다음 막에 마비 1 부여
,,방어,1,7,합 승리,다음 막에 마비 1 부여
,,관통,3,7, , 
고급,2,전기 충격,,, , 
,,타격,2,8,적중,다음 막에 마비 1 부여
,,관통,2,7,적중,다음 막에 마비 1 부여
보급,2,구조의 분석,,, , 
,,관통,2,6,적중,다음 막에 마비 1 부여
,,관통,3,5, , 
,,방어,2,7, , 
한정,2,희미한 기억,,,사용시,자신의 체력이 25% 이하라면 모든 주사위 위력+2
,,회피,2,8, , 
,,참격,2,6, , 
,,타격,2,6, , 
고급,2,날카로운 칼날,,,전투 시작,이번 막 동안 참격 위력 +2
,,참격,1,3,,
,,참격,1,3,적중,다음 막에 출혈 2 부여
,,방어,4,5, , 
고급,2,쾌청 베기,,, , 
,,타격,1,5,합 패배,자신의 다음 주사위 위력+2
,,참격,3,9,적중,다음 막에 출혈 2 부여
한정,2,흩어지는 검격,,,전투 시작,보호 3을 얻음
,,회피,1,9, , 
,,참격,2,7, , 
,,방어,2,5, , 
고급,2,고요한 안개,,,사용시,다음 막에 보호 3을 얻음
,,타격,2,7,적중,다음 막에 출혈 1 부여
,,참격,2,7, , 
,,방어,2,3, , 
한정,2,잊을 수 없는 선율,,,전투 시작,무작위 아군 2명에게 힘 1 부여
,,참격,3,5, , 
,,방어,2,3, , 
,,타격,2,6, , 
고급,2,음악의 성지,,,사용시,무작위 적 1명에게 허약 1 부여
,,타격,2,4, , 
,,타격,3,9, , 
,,방어,1,2, , 
보급,2,힘줄의 소리,,, , 
,,타격,3,5,적중,무작위 아군 2명에게 다음 막에 힘 1 부여
,,참격,3,5,적중,무작위 아군 2명의 체력 3 회복
고급,2,섬광의 창,,,사용시,책장을 1장 뽑음
,,관통,3,7, , 
,,관통,3,7, , 
보급,2,창 휩쓸기,,, , 
,,참격,4,7,합 승리,대상에게 피해 2
,,관통,3,5, , 
한정,2,이글거리는 검,,, , 
,,참격,3,7,적중,화상 2 부여
,,관통,3,7,적중,화상 2 부여
한정,2,깃털 방패,,, , 
,,방어,3,7,합 승리,화상 2 부여
,,방어,3,7,합 승리,화상 2 부여
,,참격,2,4, , 
고급,2,지금이 기회야,,,사용시,"자신에게 출혈을 3 부여, 이 책장의 모든 주사위 위력 +2"
,,참격,3,7,적중,다음 막에 출혈 1 부여
,,타격,3,6,적중,다음 막에 출혈 1 부여
한정,2,정면 승부,,,사용시,다음 막에 자신에게 출혈 1 부여
,,참격,3,7,적중,다음 막에 출혈 1 부여
,,참격,4,7,적중,다음 막에 출혈 1 부여
보급,2,찌르고 터트리기,,,,
,,관통,3,7,합 승리,자신의 다음 주사위 최대값 +3
,,관통,3,6,,
고급,2,숫질,,,,
,,타격,3,5,합 승리,빛 1 회복
,,관통,2,8,합 승리,다음 막에 힘 1을 얻음
고급,2,판 엎기,,,,이 책장을 버리면 다음 막 모든 아군에게 신속 1 부여
,,타격,3,6,적중,다음 막에 마비 1 부여
,,타격,2,6,합 승리,다음 막에 마비 1 부여
고급,2,손패 섞기,,,사용시,비용이 가장 낮은 책장 1장을 버린다. 책장을 1장 뽑음
,,방어,3,6,,
,,타격,3,7,,
한정,3,한 점만 노리겠어,,,원거리,일회성
,,관통,6,20,적중,다음 막에 취약 2 부여
예술,3,새벽녘,,,사용시,무작위로 다른 아군 2명에게 보호 2 부여
,,방어,3,8, , 
,,참격,7,18,적중,화상 3 부여
한정,3,관측,,,사용시,다음 막에 힘 3을 얻음
,,방어,2,6, , 
,,타격,2,4,적중,다음 막에 마비 1 부여
,,타격,1,5, , 
한정,3,구속의 팔,,,사용시,이 책장의 비용 1 감소(최대 2번)
,,타격,5,15,적중,다음 막에 마비 1 부여
한정,3,고통의 분노,,,사용시,"자신에게 피해 7, 모든 주사위 위력+2"
,,타격,2,8, , 
,,타격,2,8, , 
,,참격,2,7, , 
한정,3,묵직한 소리,,,전투 시작,무작위 적 2명에게 허약 1 부여
,,타격,5,18, , 
한정,3,맹연습,,,사용시,빛 2 회복
,,회피,1,5, , 
,,타격,3,8, , 
,,참격,3,7, , 
한정,3,꿰뚫기,,, , 
,,관통,6,18,적중,대상에게 피해 5
,,방어,2,7, , 
한정,3,격돌,,, , 
,,관통,4,8,합 승리,빛 1 회복
,,관통,4,8,합 승리,빛 1 회복
한정,3,죽어,,,사용시,"자신에게 출혈을 5 부여, 이 책장의 모든 주사위 위력 +3"
,,타격,1,8,적중,다음 막에 출혈 1 부여
,,방어,2,7,,
,,참격,3,8,적중,다음 막에 출혈 1 부여
한정,3,제련,,,전투 시작,이번 막 동안 관통 위력 +2
,,관통,3,5,합 승리,자신의 다음 주사위 최대값 +3
,,참격,2,4,합 승리,자신의 다음 주사위 최대값 +3
,,관통,2,4,,
한정,3,앵화,,,사용시,손에 있는 책장이 4장 이상이라면 무작위 4장을 버림. 4장을 버렸다면 공격 주사위 최소값 +3
,,회피,2,6,,
,,참격,2,6,,
,,타격,2,5,,
한정,4,재단,,, , 
,,관통,6,10,적중,다음 막에 출혈 3 부여
,,관통,6,10,적중,다음 막에 출혈 3 부여
한정,4,먹칠,,, , 
,,참격,1,6, ,손에 있는 책장 수만큼 위력 증가
,,방어,2,8, , 
,,참격,3,10,적중,다음 막에 출혈 3 부여
V 도시악몽,,,,,,
고급,0,위기 극복,,,사용시,책장을 1장 뽑음
,,참격,2,7,적중,체력이 25% 이하면 빛 1 회복
고급,0,인형 방패,,,사용시,빛 1 회복
,,방어,2,7, , 
,,타격,2,4, , 
보급,0,에너지 순환,,,사용시,충전 3을 얻음
,,관통,2,7,적중,빛 1 회복
,,타격,2,4,,
보급,0,곰방대,,,사용시,연기 2를 얻음. 빛 1 회복
,,방어,3,8,,
,,회피,1,6,,
보급,0,앙가즈망,,,사용시,자신의 손에 '앙가드' 전투 책장 추가
,,참격,1,8,,
보급,2,앙가드,,,사용시,자신과 대상에게 다음 막에 힘 1 부여
,,참격,6,10,,
보급,0,발검,,,사용시,빛 1 회복
,,참격,3,6,,
고급,1,비검,,,사용시,다음 막에 신속 2를 얻음
,,참격,2,6, , 
,,참격,3,7, , 
보급,1,필사적인 사투,,,사용시,"자신에게 피해 5, 이 책장의 모든 주사위 위력+2"
,,참격,3,5, ,
,,참격,2,5, , 
고급,1,기기긱,,,사용시,빛 2 회복
,,방어,3,6, , 
,,타격,3,6, , 
고급,1,서커스 칼날,,,,
,,타격,3,7,적중,다음 막에 출혈 2 부여
,,참격,2,6,,
고급,1,저글링,,,원거리,일회성
,,타격,6,11,적중,다음 막에 마비 1 부여
고급,1,와일드 카드,,,원거리,이 책장은 사용 후에 소멸됨
,,관통,4,8,적중,체력 2 회복
,,타격,3,8,,
보급,1,연료 뽑기,,,사용시,빛 2 회복
,,관통,3,7,적중,체력 2 회복
,,방어,2,6, , 
보급,1,뒷골목의 밤,,,전투 개시,이번 막 동안 모든 주사위의 위력 -2
,,타격,6,9,적중,체력 3 회복
,,관통,5,9,적중,체력 2 회복
보급,1,믿음,,,사용시,빛 1 회복
,,관통,3,8,,
,,참격,2,6,,
한정,1,목표 포착,,, ,"내 손에 책장이 7장 이상이라면, 이 책장의 모든 주사위 위력 +2"
,,방어,2,5, ,
,,방어,2,5, , 
,,관통,3,7,적중,다음 막에 속박 1 부여
고급,1,수행자의 검,,,전투 시작,이번 막 동안 모든 주사위의 위력 -3
,,타격,7,11,,
,,관통,7,10,,
보급,1,되돌리기,,,사용시,충전 4을 얻음
,,회피,2,9, ,
,,방어,2,5, , 
,,관통,2,6,적중,체력 2 회복
보급,1,도약,,,사용시,다음 막에 신속 1을 얻음. 충전 3을 소모하여 책장을 2장 뽑음. 
,,관통,3,7,,
,,타격,3,5,,
고급,1,연기 흡입,,,사용시,연기 3을 얻음
,,방어,2,8,,
,,타격,3,8,적중,연기 4를 얻음
보급,1,숨은 칼날,,,사용시,연기 2를 소모하여 이 책장의 모든 주사위 위력 +2
,,회피,2,9,,
,,참격,4,8,적중,다음 막에 출혈 3 부여
보급,1,리포스트,,,,
,,방어,3,7,합 승리,자신의 다음 주사위 위력 +1
,,참격,4,8,,
고급,1,자법,,,전투 시작,이번 막 동안 참격 위력 +1
,,관통,3,7,적중,자신의 다음 주사위 최대값 +2
,,참격,2,4,합 승리,빛 1 회복
한정,2,극검,,, , 
,,참격,6,12,적중,다음 막에 무장 해제 1 부여
한정,2,섬격,,,사용시,속도가 6 이상이면 이 책장의 모든 주사위 위력+2
,,참격,3,7, ,
,,참격,3,6, , 
,,회피,2,5,,
보급,2,끝 없는 전투,,,사용시,자신의 체력이 25% 이하라면 이 책장의 모든 주사위 위력+1
,,방어,4,7, ,
,,타격,3,6, ,
,,참격,3,7,,
고급,2,꼭두각시,,,,
,,방어,4,8, ,
,,회피,3,9,,
,,타격,4,8,적중,다음 막에 무장 해제 1 부여
고급,2,삐그덕,,,,
,,타격,5,8, ,
,,타격,3,7,,
,,방어,4,6,,
예술,2,333..1973,,,일회성,
,,,,,사용시,4막 동안 '끈질김' 효과를 얻음.
,,관통,3,8,,
,,방어,3,7,,
고급,2,뒷골목 청소,,,,
,,관통,4,7,적중,다음 막에 마비 2 부여
,,방어,2,6,,
,,참격,3,7,적중,체력 3 회복
한정,2,가족을 위하여,,,전투 시작,무작위 아군 2명에게 다음 막에 보호 1 부여
,,관통,4,7,적중,다음 막에 출혈 2 부여
,,회피,3,7,,
,,타격,3,7,,
고급,2,지령이 향하는 곳,,,사용시,"중복된 책장을 보유하고 있지 않다면, 이 책장의 모든 주사위 위력 +1"
,,관통,4,7,적중,다음 막에 취약 1 부여
,,관통,3,7,,
고급,2,지령 수행,,,사용시,"중복된 책장을 보유하고 있지 않다면, 이 책장의 모든 주사위 위력 +1"
,,타격,3,6, ,
,,타격,3,5, , 
,,관통,1,4,,
한정,2,처형,,,,
,,참격,3,5,,중복된 책장을 보유하고 있지 않다면 위력 +4
,,참격,3,6,,
고급,2,차원의 틈,,,사용시,충전 6을 얻음
,,참격,4,8,,
,,참격,3,8,,
한정,2,포 뜨기,,,사용시,연기 2를 소모하여 이 책장의 모든 주사위 위력 +2
,,참격,4,8,적중,
,,참격,3,7,적중,대상에게 있는 (연기x0.5) 만큼 출혈 부여
고급,2,연기의 궤적,,,,
,,타격,4,8,적중,연기 1 부여
,,타격,3,7,적중,연기 2 부여
,,방어,3,5,,
보급,2,맹렬한 돌진,,,,
,,참격,7,12,적중,화상 3 부여
보급,2,플레쉬,,,,
,,관통,5,13,합 승리,흐트러짐 피해 4. 다음 막에 취약 1 부여
한정,2,처단,,,,
,,참격,3,8,합 승리,다음 막에 힘 1을 얻음
,,참격,3,6,적중,빛 1 회복
한정,3,자동 이동,,,사용시,다음 막에 신속 2를 얻음
,,회피,2,9,합 승리,자신의 다음 주사위 위력 +2
,,타격,3,8, ,
,,타격,4,7, ,
,,회피',3,8,,
예술,3,억압당한 육체,,,사용시,책장을 1장 뽑음
,,방어,4,7, , 
,,타격,4,9, ,대상의 현재 수비 주사위 위력 -3
,,타격,4,9,적중,대상에게 흐트러짐 피해 3
,,타격',3,7,,
한정,3,묵직한 일격,,,사용시,책장을 1장 뽑음
,,방어,4,8, ,
,,타격,5,16,적중,"다음 막에 허약 1, 무장해제 1, 속박 1 부여"
고급,3,예리한 손톱,,,,
,,방어,4,8, , 
,,타격,5,8, ,
,,관통,4,9,적중,흐트러짐 저항 5 회복
,,참격',3,7,,
보급,3,지령의 뜻,,,사용시,중복된 책장을 보유하고 있지 않다면 책장을 3장 뽑음
,,회피,3,8, ,
,,관통,4,8, , 
,,관통,4,7,,
한정,3,파동,,,사용시,충전 3을 사용하여 이 책장의 모든 주사위 위력 +3
,,회피,2,5,합 패배,자신의 다음 주사위 위력 +2
,,타격,5,17,적중,다음 막에 속박 2 부여
고급,3,과충전,,,사용시,충전 10를 얻고 다음 막에 행동불가 상태가 됨
,,관통,5,13, , 
,,참격,4,12, ,
,,관통,5,11,,
,,방어',2,6,,
고급,3,깊은 숨결,,,사용시,책장을 1장 뽑음
,,타격,6,19,적중,연기 7 부여
,,회피,1,9,,
고급,3,감각 상실,,,,
,,방어,5,8,,
,,타격,5,9,적중,대상에게 연기가 7 이상 있다면 마비 2와 허약 1 부여
,,참격,4,9,적중,대상에게 연기가 3 이상 있다면 책장을 2장 뽑음
보급,3,물리네,,,,
,,참격,5,9,합 승리,마지막 주사위 최대값 +2
,,타격,5,9,합 승리,마지막 주사위 최대값 +2
,,참격,3,8,합 승리,다음 막에 취약 2 부여
예술,3,살주,,,전투 시작,이번 막 동안 참격 위력 +3
,,참격,3,6,,
,,방어,2,8,,
VI 도시의 별,,,,,,
보급,0,정면 돌파,,,사용시,빛 1 회복
,,관통,2,7,,
,,관통,1,2,,
보급,0,해금 - I,,,일회성,
,,,,,사용시,'해금 - II' 을 손에 추가한다.
,,참격,2,6,,
보급,0,해금 - II,,,일회성,
,,,,,사용시,'해금 - III' 을 손에 추가한다.
,,참격,2,6,,
,,관통,1,3,,
보급,0,해금 - III,,,사용시,빛 1 회복. 책장을 1장 뽑는다
,,참격,3,7,적중,연기 2 부여
,,관통,2,4,,
보급,0,일점 찌르기,,,사용시,다음 막 시작에 덱에 있는 다른 '일점 찌르기'를 모두 뽑는다.
