card_id,grade,cost,name,dice_index,dice_kind,damage_type,min,max,use_type,use_text,trigger,effect_text
76,고급,2,회전베기,2,ATTACK,SLASH,2,5,,,적중,다음 막에 출혈 1 부여
76,고급,2,회전베기,3,ATTACK,SLASH,1,2,,,,
77,고급,2,제압,1,ATTACK,BLUNT,5,7,,,,
77,고급,2,제압,2,ATTACK,PIERCE,2,4,,,,
78,한정,2,끝내주지,1,ATTACK,BLUNT,4,6,,,적중,다음 막에 마비 1 부여
78,한정,2,끝내주지,2,ATTACK,SLASH,3,5,,,적중,다음 막에 마비 1 부여
79,한정,2,충격 강타,1,ATTACK,BLUNT,4,12,,,,
80,고급,2,파괴 일격,1,ATTACK,SLASH,1,15,,,,
81,보급,2,난입,1,ATTACK,BLUNT,3,6,,,,
81,보급,2,난입,2,EVADE,,1,6,,,,
81,보급,2,난입,3,ATTACK,PIERCE,3,4,,,,
82,보급,2,으깨기,1,ATTACK,BLUNT,3,6,,,적중,다음 막에 출혈 2 부여
82,보급,2,으깨기,2,ATTACK,BLUNT,3,5,,,,
83,고급,3,역습,1,EVADE,,1,10,,,합 승리,자신의 다음 주사위 강화
83,고급,3,역습,2,ATTACK,PIERCE,4,5,,,,
83,고급,3,역습,3,ATTACK,PIERCE,3,4,,,,
84,고급,3,과감한 판단,1,ATTACK,SLASH,4,8,사용시,모든 책장을 버림,,
84,고급,3,과감한 판단,2,ATTACK,PIERCE,4,8,사용시,모든 책장을 버림,,
84,고급,3,과감한 판단,3,ATTACK,BLUNT,3,5,사용시,모든 책장을 버림,,
85,예술,3,됐고!,1,ATTACK,BLUNT,5,10,사용시,모든 주사위들이 '위력 -2'를 얻음,,
85,예술,3,됐고!,2,ATTACK,SLASH,5,10,사용시,모든 주사위들이 '위력 -2'를 얻음,,
85,예술,3,됐고!,3,ATTACK,BLUNT,5,10,사용시,모든 주사위들이 '위력 -2'를 얻음,,
86,고급,3,난투,1,ATTACK,BLUNT,3,6,사용시,모든 주사위가 제거되고 내 손에 있는 무작위 책장의 주사위로 교체됨,적중,빛 1 회복
86,고급,3,난투,2,ATTACK,SLASH,2,8,사용시,모든 주사위가 제거되고 내 손에 있는 무작위 책장의 주사위로 교체됨,,
86,고급,3,난투,3,ATTACK,SLASH,3,5,사용시,모든 주사위가 제거되고 내 손에 있는 무작위 책장의 주사위로 교체됨,,
86,고급,3,난투,4,ATTACK,SLASH,3,6,사용시,모든 주사위가 제거되고 내 손에 있는 무작위 책장의 주사위로 교체됨,,
87,보급,0,의뢰 처리,1,ATTACK,SLASH,1,6,,,적중,화상 1 부여
87,보급,0,의뢰 처리,2,DEFENSE,,3,4,,,,
88,보급,0,뒷골목의 규칙,1,ATTACK,SLASH,2,8,,,적중,책장을 1장 뽑음
89,고급,0,쾌속 찌르기,1,EVADE,,2,4,,,,
89,고급,0,쾌속 찌르기,2,ATTACK,PIERCE,1,5,,,,
89,고급,0,쾌속 찌르기,3,ATTACK,PIERCE,1,5,,,,
90,보급,0,사슬 맛 좀 볼래?,1,ATTACK,SLASH,3,5,사용시,"다음 막에 자신에게 출혈 1 부여, 빛 1 회복",적중,다음 막에 출혈 1 부여
91,보급,0,밤일낮장,1,ATTACK,PIERCE,2,6,,이 책장을 버리면 신속 1을 얻음,,
92,고급,1,맛있을 거예요?,1,ATTACK,SLASH,1,5,,,적중,체력 1 회복
92,고급,1,맛있을 거예요?,2,EVADE,,1,6,,,,
92,고급,1,맛있을 거예요?,3,ATTACK,SLASH,2,4,,,적중,체력 1 회복
93,보급,1,지령대로,1,DEFENSE,,2,6,,,합 승리,빛 1 회복
93,보급,1,지령대로,2,ATTACK,PIERCE,1,4,,,,
94,보급,1,기괴한 타격,1,EVADE,,2,5,,,,
94,보급,1,기괴한 타격,2,ATTACK,SLASH,1,4,,,적중,대상에게 흐트러짐 피해 5
95,고급,1,응사,1,ATTACK,PIERCE,1,8,원거리,일회성,적중,다음 막에 허약 1 부여
95,고급,1,응사,2,DEFENSE,,3,5,원거리,일회성,,
96,고급,1,근접전은 싫어,1,ATTACK,PIERCE,2,6,원거리,일회성,적중,다음 막에 허약 1 부여
96,고급,1,근접전은 싫어,2,ATTACK,PIERCE,2,6,원거리,일회성,,
96,고급,1,근접전은 싫어,3,EVADE,,3,8,원거리,일회성,,
97,보급,1,발사,1,ATTACK,BLUNT,2,6,원거리,일회성,,
97,보급,1,발사,2,ATTACK,BLUNT,2,6,원거리,일회성,,
97,보급,1,발사,3,ATTACK,PIERCE,1,5,원거리,일회성,,
98,보급,1,타겟 포착,1,ATTACK,PIERCE,2,6,원거리,일회성,,
98,보급,1,타겟 포착,2,ATTACK,PIERCE,2,6,원거리,일회성,적중,다음 막에 허약 1 부여
99,한정,1,여명의 섬광,1,ATTACK,SLASH,1,5,사용시,책장을 1장 뽑음,,
99,한정,1,여명의 섬광,2,EVADE,,1,4,사용시,책장을 1장 뽑음,합 승리,대상의 다음 주사위 위력 -2
99,한정,1,여명의 섬광,3,ATTACK,SLASH,1,6,사용시,책장을 1장 뽑음,적중,화상 1 부여
100,고급,1,기회 포착,1,DEFENSE,,3,5,,,,
100,고급,1,기회 포착,2,ATTACK,BLUNT,1,2,,,,대상이 마비 상태라면 위력+1
100,고급,1,기회 포착,3,ATTACK,BLUNT,1,2,,,,대상이 마비 상태라면 위력+1
100,고급,1,기회 포착,4,ATTACK,SLASH,1,2,,,,대상이 마비 상태라면 위력+1
101,고급,1,성가셔,1,ATTACK,PIERCE,1,5,,,적중,다음 막에 마비 1 부여
101,고급,1,성가셔,2,ATTACK,PIERCE,2,4,,,,
101,고급,1,성가셔,3,EVADE,,1,7,,,,
102,보급,1,피할 수 없는 시선,1,EVADE,,1,7,,,,
102,보급,1,피할 수 없는 시선,2,ATTACK,PIERCE,1,6,,,적중,다음 막에 마비 1 부여
103,고급,1,구름 장벽,1,DEFENSE,,2,7,,,,
103,고급,1,구름 장벽,2,DEFENSE,,2,4,,,,
103,고급,1,구름 장벽,3,ATTACK,SLASH,2,5,,,적중,다음 막에 출혈 1 부여
104,고급,1,뒷처리,1,ATTACK,SLASH,2,7,사용시,빛 2 회복,적중,다음 막에 출혈 1 부여
105,보급,1,검은 구름,1,ATTACK,BLUNT,2,6,전투 시작,이번 막 동안 참격으로 공격 적중시 대상에게 다음 막에 출혈 1 부여,,
105,보급,1,검은 구름,2,ATTACK,SLASH,2,5,전투 시작,이번 막 동안 참격으로 공격 적중시 대상에게 다음 막에 출혈 1 부여,,
106,보급,1,신나는 연주,1,ATTACK,BLUNT,3,7,,,,
106,보급,1,신나는 연주,2,ATTACK,SLASH,2,6,,,,
107,고급,1,붉은 음표,1,ATTACK,BLUNT,1,5,전투 시작,무작위 아군 1명에게 힘 1 부여,,
107,고급,1,붉은 음표,2,ATTACK,BLUNT,1,4,전투 시작,무작위 아군 1명에게 힘 1 부여,,
108,보급,1,물러터졌구나,1,ATTACK,BLUNT,3,6,사용시,다음 막에 자신에게 출혈 1 부여,적중,다음 막에 출혈 1 부여
108,보급,1,물러터졌구나,2,DEFENSE,,3,5,사용시,다음 막에 자신에게 출혈 1 부여,,
109,고급,1,정면 회피,1,EVADE,,3,7,,,,
109,고급,1,정면 회피,2,DEFENSE,,2,7,,,,
110,고급,1,우회적 공격,1,DEFENSE,,1,5,사용시,다음 막에 자신에게 출혈 1 부여,,
110,고급,1,우회적 공격,2,ATTACK,SLASH,4,7,사용시,다음 막에 자신에게 출혈 1 부여,적중,다음 막에 출혈 1 부여
111,보급,1,무기 손질,1,ATTACK,PIERCE,1,7,전투 시작,이번 막 동안 관통 위력 +1,,
112,보급,1,중계,1,ATTACK,BLUNT,2,5,,이 책장을 버리면 책장을 1장 뽑음,적중,다음 막에 취약 1 부여
112,보급,1,중계,2,EVADE,,1,8,,이 책장을 버리면 책장을 1장 뽑음,,
113,고급,2,식사,1,DEFENSE,,5,7,,,,
113,고급,2,식사,2,ATTACK,SLASH,3,4,,,적중,체력 2 회복
113,고급,2,식사,3,ATTACK,PIERCE,1,7,,,적중,체력 2 회복
114,한정,2,멋진 실이 나올 거예요,1,DEFENSE,,4,6,,,,
114,한정,2,멋진 실이 나올 거예요,2,ATTACK,BLUNT,1,3,,,,서로의 손에 '멋진 원단' 책장 추가
114,한정,2,멋진 실이 나올 거예요,3,ATTACK,BLUNT,1,2,,,,손에 있는 책장 수만큼 위력 증가
115,한정,3,멋진 원단,1,DEFENSE,,8,8,,이 책장은 3장까지만 보유 가능,,
115,한정,3,멋진 원단,2,EVADE,,6,8,,이 책장은 3장까지만 보유 가능,,
116,한정,2,무차별 사격,1,ATTACK,PIERCE,1,8,원거리,일회성,합 패배,자신의 다음 주사위 위력+2
116,한정,2,무차별 사격,2,ATTACK,PIERCE,1,8,원거리,일회성,합 패배,자신의 다음 주사위 위력+2
116,한정,2,무차별 사격,3,ATTACK,BLUNT,1,8,원거리,일회성,,
117,고급,2,가까이 오지마,1,ATTACK,PIERCE,4,7,원거리,일회성,,
117,고급,2,가까이 오지마,2,ATTACK,PIERCE,4,7,원거리,일회성,적중,다음 막에 허약 1 부여
117,고급,2,가까이 오지마,3,DEFENSE,,3,8,원거리,일회성,,
118,보급,2,헤드샷,1,ATTACK,PIERCE,5,12,원거리,일회성,적중,다음 막에 출혈 3 부여
119,고급,2,삶의 마침표,1,ATTACK,SLASH,3,7,,,,
119,고급,2,삶의 마침표,2,ATTACK,SLASH,3,7,,,적중,다음 막에 허약 1 부여
120,한정,2,그림자의 건너편,1,EVADE,,3,7,,,,
120,한정,2,그림자의 건너편,2,ATTACK,SLASH,2,5,,,적중,다음 막에 출혈 1 부여
120,한정,2,그림자의 건너편,3,ATTACK,SLASH,2,5,,,적중,다음 막에 출혈 2 부여
121,한정,2,나비 베기,1,ATTACK,BLUNT,2,7,,,,
121,한정,2,나비 베기,2,DEFENSE,,3,5,,,,
121,한정,2,나비 베기,3,ATTACK,SLASH,2,6,,,적중,화상 2 부여
122,고급,2,사출,1,ATTACK,PIERCE,3,5,,,,대상의 현재 주사위 위력 -1
122,고급,2,사출,2,ATTACK,PIERCE,3,5,,,,대상의 현재 주사위 위력 -1
122,고급,2,사출,3,DEFENSE,,2,4,,,,
123,보급,2,노을빛 검,1,ATTACK,SLASH,1,6,,,적중,화상 1 부여
123,보급,2,노을빛 검,2,ATTACK,SLASH,1,5,,,적중,화상 1 부여
123,보급,2,노을빛 검,3,ATTACK,BLUNT,2,7,,,적중,화상 1 부여
124,고급,2,낙인,1,ATTACK,PIERCE,3,6,사용시,부정 감정 1 누적,적중,화상 1 부여
124,고급,2,낙인,2,ATTACK,PIERCE,3,7,사용시,부정 감정 1 누적,적중,화상 1 부여
125,한정,2,파지지직,1,DEFENSE,,2,7,,,합 승리,다음 막에 마비 1 부여
125,한정,2,파지지직,2,DEFENSE,,1,7,,,합 승리,다음 막에 마비 1 부여
125,한정,2,파지지직,3,ATTACK,PIERCE,3,7,,,,
126,고급,2,전기 충격,1,ATTACK,BLUNT,2,8,,,적중,다음 막에 마비 1 부여
126,고급,2,전기 충격,2,ATTACK,PIERCE,2,7,,,적중,다음 막에 마비 1 부여
127,보급,2,구조의 분석,1,ATTACK,PIERCE,2,6,,,적중,다음 막에 마비 1 부여
127,보급,2,구조의 분석,2,ATTACK,PIERCE,3,5,,,,
127,보급,2,구조의 분석,3,DEFENSE,,2,7,,,,
128,한정,2,희미한 기억,1,EVADE,,2,8,사용시,자신의 체력이 25% 이하라면 모든 주사위 위력+2,,
128,한정,2,희미한 기억,2,ATTACK,SLASH,2,6,사용시,자신의 체력이 25% 이하라면 모든 주사위 위력+2,,
128,한정,2,희미한 기억,3,ATTACK,BLUNT,2,6,사용시,자신의 체력이 25% 이하라면 모든 주사위 위력+2,,
129,고급,2,날카로운 칼날,1,ATTACK,SLASH,1,3,전투 시작,이번 막 동안 참격 위력 +2,,
129,고급,2,날카로운 칼날,2,ATTACK,SLASH,1,3,전투 시작,이번 막 동안 참격 위력 +2,적중,다음 막에 출혈 2 부여
129,고급,2,날카로운 칼날,3,DEFENSE,,4,5,전투 시작,이번 막 동안 참격 위력 +2,,
130,고급,2,쾌청 베기,1,ATTACK,BLUNT,1,5,,,합 패배,자신의 다음 주사위 위력+2
130,고급,2,쾌청 베기,2,ATTACK,SLASH,3,9,,,적중,다음 막에 출혈 2 부여
131,한정,2,흩어지는 검격,1,EVADE,,1,9,전투 시작,보호 3을 얻음,,
131,한정,2,흩어지는 검격,2,ATTACK,SLASH,2,7,전투 시작,보호 3을 얻음,,
131,한정,2,흩어지는 검격,3,DEFENSE,,2,5,전투 시작,보호 3을 얻음,,
132,고급,2,고요한 안개,1,ATTACK,BLUNT,2,7,사용시,다음 막에 보호 3을 얻음,적중,다음 막에 출혈 1 부여
132,고급,2,고요한 안개,2,ATTACK,SLASH,2,7,사용시,다음 막에 보호 3을 얻음,,
132,고급,2,고요한 안개,3,DEFENSE,,2,3,사용시,다음 막에 보호 3을 얻음,,
133,한정,2,잊을 수 없는 선율,1,ATTACK,SLASH,3,5,전투 시작,무작위 아군 2명에게 힘 1 부여,,
133,한정,2,잊을 수 없는 선율,2,DEFENSE,,2,3,전투 시작,무작위 아군 2명에게 힘 1 부여,,
133,한정,2,잊을 수 없는 선율,3,ATTACK,BLUNT,2,6,전투 시작,무작위 아군 2명에게 힘 1 부여,,
134,고급,2,음악의 성지,1,ATTACK,BLUNT,2,4,사용시,무작위 적 1명에게 허약 1 부여,,
134,고급,2,음악의 성지,2,ATTACK,BLUNT,3,9,사용시,무작위 적 1명에게 허약 1 부여,,
134,고급,2,음악의 성지,3,DEFENSE,,1,2,사용시,무작위 적 1명에게 허약 1 부여,,
135,보급,2,힘줄의 소리,1,ATTACK,BLUNT,3,5,,,적중,무작위 아군 2명에게 다음 막에 힘 1 부여
