감정 등급,감정,이름,대상,효과
III,붕괴,오물,1,"합 승리 시 모든 적 캐릭터에게 다음 막에 속박, 취약, 출혈을 1 부여한다. (최대 2번)"
,,,,
예술의 층 - 네짜흐,,,,
I,3,이계 너머의 메아리,1,모든 적 캐릭터에게 흐트러짐 피해 5-10를 준다. 모든 아군의 흐트러짐 저항을 5-10 회복한다.
I,2,가시,1,관통 주사위가 적중할 때마다 대상에게 쾌감 1을 부여한다. 쾌감이 5 이상인 대상에게는 2-7의 피해와 흐트러짐 피해를 주고 효과를 소멸시킨다.
I,1,촉수,1,"관통 공격을 적중시킬 때마다 대상의 최대 흐트러짐 저항이 5% 감소한다. (최대 50%, 광역 제외)"
I,0,웃음 가루,아군,피격 시 흐트러짐 상태가 아니라면 흐트러짐 저항을 2-4 회복한다.
I,-1,조약돌,1,막 시작 시 마다 손 패에 있는 카드 중 3장에 조약돌 효과가 부여된다([장착시 발동] 책장 제외). 조약돌 효과가 있는 책장을 사용하면 체력이 3-7 회복된다. 조약돌 효과가 없는 책장을 사용하면 체력이 1-3 감소한다.
I,-2,쾌락,1,모든 주사위 위력 +1. 최대 흐트러짐 저항이 50% 감소한다.
,,,,
II,3,반복되는 연주,1,"손에 '비용 3/[사용 시] 이번 막을 강제 종료, 다음 막 시작 시 체력, 흐트러짐 저항을 이 카드를 얻은 막의 값까지 회복, 빛 최대 회복' 효과를 가진 반복되는 연주 책장을 추가한다."
II,2,친구의 증표,아군,3막 동안 모든 아군의 체력을 10% 회복한다. (최대 12)
II,0,가을의 저묾,1,피격시 공격자에게 잔향을 1 부여한다. (잔향: 막 시작 시 잔향 수치만큼 흐트러짐 피해를 받고 스택이 절반으로 감소.)
I,0,이해 불능,1,"일방 공격 적중 시 50% 확률로 대상에게 허약 1, 무장해제 1을 부여한다. 공격을 적중시킨 횟수에 따라 발동 확률이 10%씩 증가한다(교전 당 최대 3회 발동)."
II,-1,꽃잎,1,"이번 전투에서 피해를 최대 체력의 10%만큼 받을 때마다 모든 적에게 흐트러짐 피해 4-8을 주고, 이 캐릭터의 체력을 5-10 회복한다."
II,-2,눈물,1,모든 주사위 위력 +1. 이 캐릭터가 사망하면 모든 캐릭터는 체력을 '이 캐릭터의 전체 체력의 50%' 만큼 잃는다. (최대 60)
,,,,
III,각성,봄의 탄생,1,"매 막마다 무작위 대상 1명에게 꽃잎 표식이 붙는다. 한 막에 해당 대상에게 공격이 4회 이상 적중하면, 모든 캐릭터에게 흐트러짐 피해 3-7을 주고, 다음 막 동안 공격 대상으로 지정되지 않는다."
III,각성,피날레,1,이번 전투동안 적을 흐트러짐 상태로 만들면 다음 막 시작 시 모든 적의 빛을 1-6 감소시킨다.
III,붕괴,열렬한 감동,1,이번 막부터 2막동안 모든 적 캐릭터가 피아식별 없이 공격 대상을 정한다. 해당 막동안 적 캐릭터의 피해량이 2-4 증가한다.
,,,,
자연과학의 층 - 티페리트,,,,
I,2,눈물로 벼려낸 검,1,관통 공격 적중 시 최대 값이었으면 대상의 최대 체력의 10%만큼 추가 피해를 준다. (최대 12)
I,1,사랑,1,공격으로 합에서 승리할 때마다 무작위 아군의 체력이 3-5 회복된다. 수비로 합에서 승리할 때마다 무작위 아군의 흐트러짐 저항이 2-4 회복된다.
I,0,정의,1,이전 막에 아군에게 피해를 가장 많이 준 적에게 악당 표적이 찍힌다. 악당 표적이 찍힌 적을 공격 시 피해량이 3-5 증가한다.
I,-1,증오,1,"합에서 패배할 때마다 흐트러짐 피해 2-4를 받고, 다음 막에 힘을 얻는다(최대 2). 합에서 3번 패배하면 손 패에서 비용이 가장 높은 카드의 비용이 1 감소한다(막 당 1회)."
I,-1,가호,1,"이전 막에서 공격으로 피해를 받았다면, 자신에게 가장 많은 피해를 준 속성의 내성이 한 막동안 견딤이 된다. (피해와 흐트러짐 피해는 각각 따로 적용된다.)"
I,-2,절망,아군,"아군이 사망할 때마다 모든 아군이 힘, 신속 1-3을 얻는다. 모든 적에게 취약 2를 부여한다."
,,,,
II,2,무절제,1,첫 번째 주사위가 합에서 승리하면 25% 확률로 적의 나머지 주사위를 파괴한다.
II,1,행복의 길,1,합에서 승리한 횟수에 비례하여 다음 막에 인내를 얻는다. (최대 3)
II,0,벗,1,"생존한 벗이 없을 경우, 처음 공격하는 적에게 벗 표적을 부여한다. 이 캐릭터가 벗 표적을 가진 적을 처치하면 모든 사서의 빛/체력/흐트러짐이 3/10/10만큼 회복된다."
II,-1,탐욕,1,"합 판정 시 주사위 값이 상대보다 4 이상 크면 3-7의 추가 피해를 주고, 체력을 2-5 회복한다. (자신과 합 상대에게 동일하게 적용됨)"
II,-1,분노,1,"선택한 캐릭터가 분노 상태가 된다. 분노 상태인 캐릭터는 조종할 수 없으며, 피아 식별 없이 무작위 대상을 공격한다. 또한 매 막마다 힘 2를 얻고, 빛을 2씩 회복하고, 책장을 2장 추가로 뽑는다."
II,-2,마법소녀,1,"막 시작 시 손에 있는 비용이 4 미만인 책장 중 비용이 가장 높은 책장 중 1장에 마법소녀 표식이 붙는다. 마법소녀 표식이 붙은 책장으로 4회 합에서 패배하면, 이번 접대동안 막 시작 시 보호 5를 얻고, 상태이상이 부여되지 않으며, "
,,,,"피격시 대상에게 다음 막에 부식, 취약 1을 부여한다. (막 당 최대 2)"
,,,,
III,각성,독액,적,"모든 적 캐릭터에게 부식 5를 부여한다. 부식이 있는 동안 모든 적 캐릭터가 부식 수치만큼 속박을 얻는다. (부식: 막 종료시 현재 수치만큼 피해를 입고, 수치가 1 감소한다. 피격시 수치만큼 물리, 흐트러짐 추가 피해를 받는다.)"
III,붕괴,허무,1,"이 캐릭터가 '탐욕', '증오', '절망', '분노' 환상체 책장 효과를 가지고 있을 경우에만 발동됨. 자신을 제외한 모든 캐릭터에게 매 막 시작 시 허약, 무장해제, 속박 5를 부여한다. '탐욕', '증오', '분노' 책장의 패널티가 사라진다."
III,붕괴,공허,1,"손에 비용 3/'[전투 시작] 손 패의 책장을 모두 소멸시킴. 다음 막부터 매 막마다 소멸시킨 책장의 수만큼 힘, 인내를 얻음.' 효과를 가진 공허 책장을 추가한다."
,,,,
언어의 층 - 게부라,,,,
I,2,사냥감,1,책장 선택 후 처음으로 공격하는 적에게 표적이 찍힌다. 표적이 찍힌 적을 공격 시 피해량이 2-6 증가한다.
I,1,흡혈,1,"출혈이 부여된 대상에게 공격 적중 시 피해량이 2-4 증가하고, 체력을 2-5 회복한다. (광역 제외)"
I,0,늑대의 역할,1,반격 주사위의 위력이 1-2 증가한다. 반격 주사위로 합 승리 시 대상에게 취약 1-2를 부여한다. (막 당 최대 3회)
I,0,난수병,1,"공격 적중시 다음 막에 출혈을 1 부여하고, 피를 1 얻는다. 피 수치에 따라 공격 주사위 굴림 시 체력이 감소하는 대신 피해량이 증가하거나, 흐트러짐 피해를 받거나, 위력이 증가한다."
I,-1,복수,1,"다음 막 시작 시 이전 막에서 받은 피해에 비례하여 힘을 얻는다. (피해량 5 당 1 증가, 최대 2)"
I,-2,흉악한 발톱,1,"최대 체력의 25%만큼 피해를 받을 때마다 다음 막에 타겟으로 지정되지 않음 + 합 불가 상태가 된다. 해당 막동안 힘 2를 얻고, 공격 주사위가 적중할 때마다 출혈 1을 부여한다."
,,,,
II,2,흡수,1,이번 무대동안 적을 처치할 때마다 체력을 최대 체력의 20%(최대 20)만큼 회복한다. 막 시작 시 이번 무대에서 회복한 체력의 양에 비례하여 힘을 얻는다. (최대 체력의 10%를 회복할 때마다 힘 1 증가) (최대 3)
II,1,포도주,1,"출혈이 부여된 대상을 처치하면 모든 아군이 체력을 10 회복하고, 다음 막 시작 시 이 캐릭터의 피 수치가 최대로 증가한다."
II,0,본능,1,합 승리 시 마지막 주사위의 위력이 1-2 증가한다. 해당 주사위의 공격이 적중하면 체력을 3-7 회복한다.
II,0,웃음 소리,1,체력이 50% 이하일 때 피격 시 50% 확률로 괴성이 발동한다. (막 당 최대 3회)
,,,,"괴성 발동 시 모든 적에게 흐트러짐 피해를 2-5 주고, 다음 막에 취약 1을 부여한다."
II,-1,붉은 흉터,1,막 종료시 남은 체력이 50%/35%/25% 이하면 다음 막에 힘을 1/2/4 얻는다.
II,-2,시체들의 산,1,"선택한 사서를 제외한 모든 사서가 사망한다. 사망한 사서 수에 비례하여 영구적으로 최대 빛, 빛 회복량이 증가하고, 힘, 보호, 신속을 얻는다."
,,,,
III,각성,Good Bye,1,막에서 마지막으로 사용하는 주사위의 위력이 2배가 된다.
III,각성,Hello?,1,막에서 처음으로 사용하는 주사위의 피해량만큼 체력을 회복한다.
III,각성,껍데기,1,받는 흐트러짐 피해가 0이 된다.
,,,,
사회과학의 층 - 헤세드,,,,
I,3,갈퀴,1,"대상을 흐트러짐으로 만들면 대상이 보유하고 있는 책장 2장을 복사하여 내 손에 추가하고 그 책장의 비용이 2 감소한다. 복사한 책장은 사용 후 소멸된다. (근거리는 근거리만, 원거리는 원거리만 가능, 일렁임인 대상에게는 발동 X)"
I,2,심장,1,"한 막에 적에게 피해를 15 이상 주면 손에서 비용이 가장 높은 책장 2장의 비용이 1 감소한다. 적을 처치한 경우, 대신 비용이 0이 된다. 비용이 감소한 책장은 사용 후 해당 효과가 적용되기 전으로 돌아온다."
I,1,수확,1,"자신보다 흐트러짐 저항이 높은 대상에게 공격이 적중할 때마다 흐트러짐 저항을 2-5 회복하고, 흐트러짐 피해 2-4를 추가로 준다."
I,0,용기,1,"막 시작 시 생존한 아군 수 -2 만큼 힘, 보호를 얻는다. (값이 음수인 경우 허약, 취약으로 적용됨)"
I,-1,벌목,1,"대상의 빛이 자신보다 많을 때, 대상의 남은 빛만큼 공격 주사위의 위력이 증가한다. (최대 2)"
I,-2,뜯겨나간 지혜,1,책장을 사용할 때마다 손에서 무작위 책장 한 장을 버리고 빛을 1 회복한다. (장착시 발동 책장 제외)
,,,,
II,2,에메랄드,1,손에 비용 5/'[장착시 발동][적 지정] 대상이 장착하고 있는 전투 책장 2장을 무작위로 해제시킨다. 이번 막동안 대상에게 공격이 적중할 때마다 빛 1 회복. (최대 2회)' 효과를 가진 에메랄드 책장을 손에 추가한다. 
,,,,무대 시작시 에메랄드 책장을 덱에 추가한다.
II,1,함께 가는 길,1,이 캐릭터가 받을 공격을 다른 아군이 합으로 가져가면 해당 책장의 위력 1-2 증가
II,0,집,1,막 시작 시 현재 생존한 사서 수에 따라 타겟이 3/2/2/1/1명 지정된다. 타겟에 적힌 순서대로 타겟을 공격할 때마다 피해량이 3 증가한다.
II,0,망각,1,"손에 비용 3/'[장착시 발동][소멸] 이번 막 동안 행동 불가, 타겟으로 지정되지 않음. 막 종료 시 최대 체력의 40%만큼 체력 회복(최대 48), 빛을 최대로 회복.' 효과를 가진 망각 책장을 손에 추가한다."
II,-1,따뜻한 마음,1,막 시작 시 빛을 3 이상 보유하고 있으면 공격 주사위의 위력이 1-2 증가한다.
II,-2,과거의 힘,1,전투 책장의 비용이 1 증가한다. 모든 주사위의 위력이 3-4 증가한다.
,,,,
III,각성,마술,1,손에 비용 4/'[장착시 발동] 손에 있는 모든 책장의 비용을 0으로 만듦. 비용이 0이 된 책장은 사용 후 이 효과가 적용되기 전의 비용으로 돌아옴.' 효과를 가진 마술 책장을 손에 추가한다. 무대 시작시 마술 책장을 덱에 추가한다.
III,붕괴,생명의 가루,아군,"이번 접대에서 1회 한정으로 체력이 0이 되는 피해를 입을 때, 그 피해를 0으로 하고 최대 체력의 20%만큼 체력을 회복한다. (최대 24)"
III,붕괴,가짜 선물,아군,EGO 책장 목록에 비용 0/'[장착 시 발동] 용기가 생기는 물약'/'톱밥이 든 주머니'/'납으로 만든 심장'/'돌아갈 수 없는 집'/'변이'를 얻음' 효과를 가진 가짜 선물 책장을 각각 1장 씩 추가한다. 
,,,,무대 시작시 가짜 선물 책장을 EGO 책장 목록에 추가한다.
,,,,
철학의 층 - 비나,,,,
I,2,영원히 타오르는 램프,1,속도와 관계없이 이 캐릭터가 공격하는 대상은 이 캐릭터를 공격하게 된다.
I,1,작은 날갯짓,1,회피 주사위의 위력이 1-2 증가한다. 회피 주사위로 합 승리 시 다음 공격 주사위의 위력이 1-2 증가한다.
I,0,죄의 무게,1,"주사위 최소 값이 나올 때마다 피해를 2-7 받고, 다음 막에 힘, 인내 1-2를 얻는다."
I,0,긴 팔,1,"선택한 캐릭터가 상태이상(화상, 출혈, 요정, 죄)으로 피해를 받지 않는다."
I,-1,큰 눈,1,"막 시작 시 모든 적에게 현혹을 부여된다. 현혹에 걸린 적은 피해량이 2~4 증가하고 이 캐릭터를 공격한다. 현혹에 걸린 적과 합 진행시 위력이 1~2 증가하고, 합 승리 시 체력, 흐트러짐을 2~5 회복한다."
I,-2,감시하는 눈,1,"카드 선택 시 이 캐릭터의 빛이 최대로 회복된다. 매 막마다 무작위 아군 1명의 빛이 회복되지 않고, 이 캐릭터의 빛이 2씩 회복된다."
,,,,
II,3,구원,1,"자신보다 속도가 높은 대상과 합을 진행할 때 모든 주사위 위력 +1, 대상의 체력이 25% 이하라면 합 승리시 대상의 주사위 전부 파괴."
II,2,처벌하는 부리,1,공격으로 피해를 받지 않은 막의 수만큼 피해량이 증가한다. (최대 10)
II,1,기울어진 저울,1,가장 체력이 높은 적 캐릭터에게 피해를 주면 가장 체력이 낮은 아군 1명의 체력이 2-8 회복된다.(막 당 3회)
II,0,작은 부리,1,"손에 비용 0/'[장착시 발동][발동 후 손으로 되돌아옴] 최대 체력의 5%만큼 체력 피해, 빛 1 회복.' 효과를 가진 작은 부리 책장을 추가한다."
II,-1,징벌,1,피해를 받으면 다음 막에 사용하는 첫번째 책장의 첫번째 주사위의 위력이 2-4 증가한다. ([장착시 발동] 책장 제외)
II,-2,심판,1,"모든 캐릭터가 막 시작 시 50% 확률로 죄 1을 얻는다. 죄가 5 이상이 되면 막 시작 시 최대 체력의 10%만큼 피해를 받고, 수치가 초기화된다. 다른 캐릭터에게 피해를 주면 죄를 옮길 수 있다(책장 당 1회)."
,,,,
III,붕괴,괴수,1,"이 캐릭터가 큰 눈, 작은 부리, 긴 팔을 전부 가지고 있을 때 발동: 이 캐릭터가 공격하거나, 이 캐릭터를 공격하는 대상은 모든 주사위의 최솟값, 최대값이 3 감소하고, 위력의 영향을 받지 않는다. "
,,,,"막 종료 시 자신을 제외한 모든 캐릭터에게 피해를 15 주고, 자신의 빛을 최대로 회복한다."
III,각성,숲의 파수꾼,1,"모든 사서가 이번 전투동안 신속 1을 얻는다. 5명의 사서가 환상체 책장을 1장씩 가지고 있으면 추가로 힘, 인내 1-2를 얻는다."
III,각성,평화,1,"침입자 효과를 가진 대상이 없을 때, 이 캐릭터의 공격이 처음 적중한 대상에게 다음 막부터 침입자 효과를 부여한다. (침입자 : 이 캐릭터에게 공격으로 받는 모든 피해와 흐트러짐 피해 2-4 감소, 피격시 1-2의 추가 피해를 받음)"
,,,,
종교의 층 - 호크마,,,,
I,3,세례,1,"손에 비용 2/'[장착시 발동][사용시 손에서 사라지지 않음] 대상의 체력 6 회복, 이번 막에 인내 1 부여 (막 당 1회만 적용)' 효과를 가진 세례 책장을 추가한다."
I,2,13번째 종소리,1,13번째 사용하는 책장의 주사위의 위력 1-2 증가. 해당 주사위에 '[적중] (이 주사위의 값)%만큼 체력 비례 피해를 추가로 줌' 효과를 추가한다.
I,1,앙상한 핏빛 날개,1,반동 시 방어 주사위 값의 절반만큼 상대에게 피해를 준다.
I,0,관심과 집중,1,반동 시 피해를 2배로 주고 받는다.
I,-1,시간,아군,카드 사용 페이즈가 30초 제한이 걸린다. 모든 사서의 위력 1-2 증가
I,-2,타인의 시선,1,"일방 공격 시 피해량 2-4 증가. 합 진행 시 피해량 3-6 감소, 방어 주사위 위력 1-3 증가"
,,,,
II,2,강림,1,"이번 접대동안 빛을 2씩 회복한다. 이 캐릭터가 세례 책장을 가지고 있다면, 세례 책장의 효과가 '[장착시 발동] 대상의 체력 12 회복, 이번 막에 인내 2 부여' 로 강화된다."
II,1,그리운 소리,아군,이번 막에 모든 아군의 흐트러짐 피해량이 2-4 증가한다. 이후 3막마다 이 책장의 효과가 발동된다.
II,1,고해,아군,"흐트러짐 저항을 모두 회복하고, 모든 상태이상을 제거한다(흐트러짐 상태인 사서 포함). 이번 접대동안 피격 시 흐트러짐 저항 피해가 2 감소한다."
II,0,속죄,1,"막 시작 시 흐트러짐 상태인 캐릭터가 있으면 해당 캐릭터가 피해를 3-7 받고, 모든 아군이 이번 막동안 힘 1을 얻는다. (최대 1)"
II,-1,순교,1,"손에 비용 0/'[장착시 발동] 이번 막 동안 공격 적중 시 자신에게 피해 1-3, 대상에게 흐트러짐 피해 2-6' 효과를 가진 순교 책장을 추가한다."
II,-2,침묵,1,손에 비용 0/'[장착시 발동] 자신을 제외한 모든 캐릭터의 속도 5 감소. 자신에게 최대 체력의 15%만큼 피해' 효과를 가진 침묵 책장과 
,,,,비용 0/'[장착시 발동] 자신의 속도 5증가. 자신에게 최대 체력의 10%만큼 피해' 효과를 가진 가속 책장을 추가한다.
,,,,
III,각성,호위,1,이번 접대동안 공격 대상이 될 수 있는 아군이 있으면 공격 대상으로 지정되지 않는다. 접대 종료 시 이 캐릭터가 살아있으면 획득하는 책의 수가 처치한 손님의 수만큼 증가한다.
III,각성,권능,1,이 캐릭터가 살아있으면 자신을 제외한 모든 아군이 매 막마다 보호 2를 얻는다. 이 캐릭터가 백야의 E.G.O 책장을 사용했다면 추가로 3 이하의 피해를 흡수한다.
III,각성,사도,1,이 캐릭터가 살아있으면 자신을 제외한 모든 아군의 피해량이 2-7 증가한다. 이번 접대에서 이 캐릭터가 세례 책장을 12회 이상 했다면 추가로 위력이 1 증가한다.
,,,,
총류의 층 - 케테르,,,,
I,2,흉터,1,참격 속성으로 받는 피해가 2-5 감소한다. 피격 시 20% 확률로 피해를 0으로 만든다.
I,1,창백한 손,1,공격이 같은 대상에게 3번 적중할 때마다 흐트러짐 피해 3-10을 추가로 준다. (다른 대상 공격 시 초기화)
I,0,열망,1,최대 체력이 15% 증가한다(현재 체력도 포함). 속도가 1-2 증가한다.
I,-1,거짓말,1,막 시작 시 원래 비용이 3 이하인 책장의 비용이 무작위로 변경된다.
I,-1,호기심,1,막 시작 시 모든 책장을 뽑을 책장 더미에 섞고 책장을 4장을 다시 뽑는다.
I,-2,고동,아군,막 종료 시 힘을 1-2 얻는다. 막 종료 시 그 막 동안 공격 주사위로 피해를 주지 못했으면 체력을 최대 체력의 25%만큼 잃는다. (최대 30)
,,,,
II,2,서리검,1,합 승리 시 대상에게 50% 확률로 속박 1-3을 부여한다. 속박이 부여된 대상을 공격할 때 흐트러짐 피해 2-5를 추가로 준다.
II,1,못과 망치,1,관통 주사위 공격 적중 시 대상에게 못을 1 부여한다. 못이 있는 캐릭터는 타격에 공격당할 경우 자신의 못 수치×5만큼 피해를 받고 못을 제거한다.
II,0,학습,1,손에 비용 2/'합 시작시: 모든 주사위가 대상 책장의 주사위로 교체된다' 효과를 가진 '학습' 책장을 추가한다. 무대 시작시에 덱에 '학습' 책장을 추가한다.
II,-1,피,1,수비 주사위 위력이 1-2 증가한다. 피격 시 흐트러짐 피해 3-5를 추가로 받는다.
II,-2,죄책감,1,받는 흐트러짐 피해가 1-3 감소한다. 이 캐릭터가 공격으로 받는 피해만큼 공격자에게 흐트러짐 피해를 준다.
II,-3,몰아치는 박동,1,"선택한 캐릭터가 3막을 진행하고, 막 종료시에 사망한다. 사망하기 전까지 매 막마다 힘, 인내, 신속, 보호 4를 얻는다. 모든 흐트러짐 피해 저항이 내성으로 바뀐다."
,,,,
III,각성,입맞춤,1,한 책장 내에서 합 승리를 2번 이상 하면 대상에게 얼음 조각을 부여한다. 막 종료시 얼음 조각을 3번 이상 받은 캐릭터는 다음 막 동안 행동불가 상태가 된다.
III,붕괴,눈보라,1,이번 막동안 자신을 제외한 모든 캐릭터를 행동 불가 상태로 만든다. 다음 막에 모든 적 캐릭터에게 속박 6을 부여한다.
III,붕괴,눈빛,1,가하는 피해량이 2배가 된다. 받는 피해량이 2배가 된다.
,,,,
