등급,코스트,책장/주사위,,,특수효과,,평균합,회피제외,공격만
한정,3,화력 집중,,,원거리,"엄지 전용 전투 책장(엄지 조직원, 칼로, 카트리엘, 데니스의 책장에만 장착가능)",18,18,18
,,,,,사용시,비용이 0인 책장을 최대 4장까지 버린다. 이 능력으로 버린 탄환의 수만큼 이 책장의 모든 주사위 위력 증가,,,
,,,,,,이 능력으로 버린 탄환의 수만큼 이 책장의 모든 공격 주사위 위력 증가,,,
,,관통,7,17,적중,다음 막에 취약 1 부여,,,
,,관통,4,8,,,,,
한정,3,파괴 연타,,,,바다 전용 전투 책장,25,25,25
,,,,,합 시작시,충전 4을 소모하여 모든 주사위 위력 +2,,,
,,관통,4,8,,,,,
,,타격,4,8,,,,,
,,타격,5,9,,,,,
한정,3,정신 채찍,,,원거리,"순록팀, 루돌프 전용 전투 책장",16,16,16
,,,,,사용시,자신에게 흐트러짐 피해 4,,,
,,타격,9,23,적중,충전 3을 소모하여 대상에게 흐트러짐 피해 8,,,
한정,3,전투 지휘,,,,니콜라이 전용 전투 책장,21,21,13.5
,,,,,전투 시작,다른 무작위 아군 2명에게 힘 1 부여,,,
,,방어,5,10,,,,,
,,참격,5,9,,,,,
,,타격,5,8,,,,,
예술,3,불길한 낙인,,,,enlxmfflsdis 전용 책장,21,21,14
,,참격,4,8,,,,,
,,관통,6,10,적중,부식 2 부여,,,
,,방어,5,9,,,,,
예술,3,우제트의 눈,,,,우제트 전용 전투 책장,21.5,16,16
,,방어,5,6,,,,,
,,타격,3,7,,,,,
,,타격,8,14,적중,다음 막에 아군 전체에 보호 2 부여,,,
예술,3,준비 자세,,,,바야르 전용 전투 책장,5.5,5.5,5.5
,,,,,장착,이번 막 행동불가 버프를 얻음. 다음 막에 힘 3을 얻음. 자신의 손에 '일점 돌파' 책장을 추가,,,
,,참격,3,8,,,,,
예술,2,일점 돌파,,,일회성,이 책장은 한장만 보유 가능,27,27,27
,,타격,5,10,적중,다음 막에 마비 1 부여,,,
,,관통,15,24,적중,자신의 흐트러짐을 모두 소모하고 그만큼 흐트러짐 피해를 줌,,,
예술,4,휘몰아치기,,,일회성,로웰 전용 전투 책장,0,0,0
,,,,,사용시,이 책장의 모든 주사위 제거. 다음 막 동안에만 사용할 수 있는 광역 공격 책장을 손에 추가.,,,
예술,1,휘몰아치기-일격,,,광역 개별,이 책장은 이번 막에만 사용 가능,14,14,14
,,참격,8,20,적중,화상 3 부여,,,
예술,4,단죄,,,,보리스 전용 전투 책장,29,29,19
,,,,,,이 책장을 사용하는 동안 서로의 주사위는 위력의 효과를 받지 않는다,,,
,,방어,2,6,,,,,
,,방어,4,8,,,,,
,,참격,3,5,,,,,
,,타격,3,7,적중,이 주사위는 3번 사용한다,,,
예술,4,에너지 광선,,,원거리,네모 전용 전투 책장,17,17,17
,,,,,,이 책장의 주사위 능력은 대상의 공격 주사위가 남아있을 경우에만 발동,,,
,,관통,13,21,,,,,
예술,4,형벌,,,,에스더 전용 전투 책장,6.5,6.5,6.5
,,,,,,'해금' 상태일 때만 사용 가능. 합을 하는 동안 대상 주사위 위력 -12,,,
,,관통,1,5,적중,원래 주사위 값 1당 대상에게 피해와 흐트러짐 피해 7,,,
,,관통',2,7,,,,,
예술,4,참수,,,원거리,휴버트 전용 전투 책장,19,19,19
,,,,,,'해금' 상태일 때만 사용 가능,,,
,,참격,13,25,적중,다음 막에 허약 1과 출혈 8 부여,,,
예술,4,염룡권,,, ,"춘, 미리스 전용 전투 책장",26,26,20.5
,,방어,3,8, , ,,,
,,타격,13,28,적중,화상 6 부여,,,
한정,4,코뿔소 돌진,,,,"코뿔소팀, 막심 전용 전투 책장",24.5,24.5,18.5
,,,,,전투 시작,이번 막에 보호 2를 얻음,,,
,,타격,12,25,적중,충전 8을 얻음,,,
,,방어,4,8,,,,,
예술,4,잠금,,,,enlxmfflsdis 전용 책장,23.5,23.5,15.5
,,방어,7,9,,,,,
,,타격,12,19,합 승리,대상의 다음 주사위 파괴,,,
예술,4,스틸레토,,,,알란 전용 전투 책장,25,25,18
,,,,,사용시,자신의 신속과 상대의 속박 수치만큼 피해량 증가,,,
,,회피,4,10,,,,,
,,관통,11,25,적중,다음 막에 속박 2 부여,,,
예술,4,생명 보험,,,광역 개별,이리나 전용 전투 책장,8.5,8.5,8.5
,,,,,일회성,,,,
,,참격,7,10,적중,"무장 해제 2, 속박 2, 허약 2를 부여하고 자신의 체력 2 회복",,,
예술,4,연기 내뿜기,,,,야에 전용 전투 책장,24.5,24.5,18.5
,,,,,사용시,자신의 신속과 상대의 속박 수치만큼 피해량 증가,,,
,,타격,7,12,적중,"연기 3 부여, 대상에게 연기가 5 이상 있다면 마비 3 부여",,,
,,방어,4,8,,,,,
,,관통,7,11,,,,,
예술,5,척결,,,광역 합산,글로리아 전용 전투 책장,17.5,17.5,17.5
,,,,,,'해금' 상태일 때만 사용 가능,,,
,,타격,12,23,적중,이번 막에 허약 1 부여,,,
예술,5,처분,,,일회성,니콜라이 전용 전투 책장,37.5,37.5,37.5
,,,,,,충전이 20 이상일 때만 사용 가능. ,,,
,,,,,,이 책장으로 적을 처치하면 '처분'을 손에 추가하고 그 책장의 비용 1 감소.,,,
,,,,,,대상의 체력이 50% 이하면 주는 피해량이 2배가 된다.,,,
,,참격,15,30,합 승리,대상의 모든 주사위 파괴,,,
,,,,,합 패배,자신의 다음 주사위 파괴,,,
,,참격,10,20,,대상에게 '표적'이 있으면 원래 주사위값만큼 피해량과 흐트러짐 피해량 증가,,,
예술,6,정신 분쇄,,,광역 개별,"루돌프 전용 책장, 충전이 20 이상일 때만 사용 가능",19.5,19.5,19.5
,,관통,4,8,적중,대상에게 흐트러짐 피해 6,,,
,,타격,4,8,적중,대상에게 흐트러짐 피해 6,,,
,,타격,5,10,적중,대상에게 흐트러짐 피해 6,,,
예술,6,대지 강타,,,광역 합산,"막심 전용 책장, 충전이 20 이상일 때만 사용 가능",27.5,27.5,27.5
,,,,,사용시,충전을 20 소모하여 이 책장의 주사위 위력 +10,,,
,,타격,13,22,,,,,
예술,7,환영난무,,,광역 개별,보라눈물 전용 책장,19,19,19
,,참격,4,9,적중,대상에게 피해 5,,,
,,타격,4,9,적중,대상에게 흐트러짐 피해 5,,,
,,관통,4,8,적중,"이번 막과 다음 막에 출혈 3, 취약 1 부여",,,
예술,7,뒤틀린 검,,,광역 합산,enlxmfflsdis 전용 책장,25.5,25.5,25.5
,,참격,18,33,적중,부식 2 부여,,,
VII 불순물,,,,,,,,,
예술,1,절망의 불길,,,,필립 전용 전투 책장,10,10,10
,,,,,사용시,감정 단계가 3 이상이면 다음 막 시작에 '작열하는 절망' 책장을 손에 추가하고 모든 적에게 화상 1 부여.,,,
,,,,,,'작열하는 절망'은 막 종료에 소멸한다,,,
,,참격,3,8,적중,화상 1 부여,,,
,,타격,3,6,,,,,
예술,5,작열하는 절망,,,광역 개별,막 종료에 소멸한다,17,17,17
,,관통,14,20,적중,화상 3 부여,,,
예술,3,다시 타오르는 일격,,,,필립 전용 전투 책장,21,21,16.5
,,,,,사용시,비용이 1 이상인 자신의 무작위 '타오르는 일격' 책장 1장의 비용이 1 감소. 자신에게 화상 2 부여,,,
,,관통,11,22,적중,화상 6 부여,,,
,,방어,4,5,,,,,
예술,4,진-괘,,,,"미리내, 해롤드, 올리비에 전용 책장",25.5,25.5,18
,,,,,사용시,이번 막에 사용한 건곤감리 책장에 따라 추가 능력을 얻는다,,,
,,,,,건,사용시: 이 책장의 모든 주사위 위력 +1,,,
,,,,,곤,전투 시작: 보호 2와 흐트러짐 보호 2를 얻는다,,,
,,,,,감,빛 1 회복,,,
,,,,,리,책장을 2장 뽑는다,,,
,,참격,7,10,,,,,
,,관통,8,11,적중,대상에게 피해 5,,,
,,방어,6,9,,,,,
예술,5,때려눕히기,,,,타냐 전용 전투 책장,27.5,27.5,27.5
,,타격,18,37,합 승리,대상의 모든 주사위 위력 -5,,,
예술,5,생각 톱니: 세례,,,,에일린 전용 전투 책장,14,14,14
,,,,,광역 개별,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,,,,사용시,"한 번이라도 공격이 적중했다면, 막 종료에 모든 아군의 빛 1 회복",,,
,,관통,5,9,,,,,
,,관통,5,9,,,,,
예술,5,클라이막스~!!!!,,,,오스왈드 전용 전투 책장,25.5,25.5,25.5
,,,,,광역 합산,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,,,,사용시,"대상에게 다음 막에 취약 2, 무장해제 2, 허약 2, 보호 2, 흐트러짐 보호 2 중 무작위 하나를 부여",,,
,,타격,1,50,적중,대상에게 흐트러짐 피해 8,,,
예술,6,퍼져나가는 혈액,,,광역 합산,엘레나 전용 전투 책장,19.5,19.5,19.5
,,,,,일회성,,,,
,,참격,17,25,적중,입힌 피해량 만큼 체력 회복,,,
예술,6,태클 마운트,,,,그레타 전용 전투 책장,25,25,25
,,,,,사용시,이 책장의 모든 공격 주사위가 '[적중] 체력 3 회복' 을 얻음,,,
,,타격,11,15,합 승리,대상의 모든 주사위 파괴,,,
,,,,,합 패배,자신의 모든 주사위 파괴,,,
,,참격,3,5,적중,대상의 출혈 수치만큼 피해량 증가,,,
,,타격,3,5,적중,대상의 출혈 수치만큼 피해량 증가,,,
,,타격,3,5,적중,대상의 출혈 수치만큼 피해량 증가,,,
예술,6,절정의 합창,,,,브레멘 전용 전투 책장,16,16,16
,,,,,광역 개별,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,,,,사용시,모든 적들에게 이번 막에 취약 2 부여,,,
,,타격,6,11,적중,다음 막에 마비 1 부여,,,
,,타격,5,10,적중,다음 막에 마비 1 부여,,,
예술,6,칠흑의 강격,,,,타냐 전용 전투 책장,41,41,33
,,타격,13,20,적중,대상에게 흐트러짐 피해 5,,,
,,타격,13,20,적중,대상에게 피해 5,,,
,,방어,6,10,,,,,
예술,6,구속의 실,,,,재헌 전용 전투 책장,16,16,16
,,,,,광역 개별,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,,,,사용시,'인형사의 실'을 가진 모든 아군의 체력 및 흐트러짐 저항 20 회복,,,
,,관통,6,10,적중,다음 막에 속박 1 부여,,,
,,관통,6,10,적중,다음 막에 속박 1 부여,,,
예술,6,영원한 갈증,,,,엘레나 전용 전투 책장,21,21,21
,,,,,광역 개별,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,,,,,이번 무대동안 자신의 체력을 20 이상 회복했으면 이 책장의 비용 2 감소,,,
,,참격,6,9,,,,,
,,참격,8,19,적중,체력 3 회복,,,
예술,6,쇄도하는 안식의 팔,,,,플루토 전용 전투 책장,18.5,18.5,18.5
,,,,,광역 개별,3번째 막부터 사용 가능.,,,
,,,,,,이 책장은 사용 후에 소멸하고 4막이 지나면 손으로 돌아온다.,,,
,,관통,5,8,,,,,
,,참격,5,8,,,,,
,,관통,4,7,,,,,
비나 전용 책장,,,,,,,,,
보급,1,열화된 요정,,,사용시,빛 2 회복,10.5,10.5,10.5
,,참격,4,7,적중,요정 1 부여,,,
,,참격,3,7,적중,요정 1 부여,,,
고급,2,열화된 사슬,,,,,11,11,11
,,타격,8,14,적중,다음 막 동안 대상의 속도 주사위 1개 봉인,,,
한정,3,열화된 자물쇠,,,사용시,빛 1 회복,20.5,20.5,14.5
,,타격,9,20,적중,다음 막 동안 대상의 원래 비용이 4 이상인 책장들의 비용 2 증가,,,
,,방어,4,8,,,,,
고급,3,열화된 기둥,,,,공격을 적중시키면 대상에게 요정 3 부여,21.5,21.5,15.5
,,참격,7,11,,대상의 현재 주사위는 다시 사용할 수 없다.,,,
,,참격,6,9,,,,,
,,방어,4,8,,,,,
고급,5,열화된 충격파,,,광역 개별,,17.5,17.5,17.5
,,,,,사용시,모든 아군에게 이번 막에 보호 3 부여,,,
,,타격,3,8,,,,,
,,타격,3,8,,,,,
,,타격,4,9,적중,이번 막에 허약 1 부여,,,
붉은안개 전용 책장,,,,,,,,,
보급,2,종베기,,,,이 책장으로 피해를 8 이상 주면 책장을 1장 뽑고 다른 모든 '종베기'의 비용이 1 감소한다.,15.5,15.5,15.5
,,타격,6,10,,,,,
,,타격,6,9,,,,,
보급,2,찌르기,,,,이 책장으로 피해를 8 이상 주면 책장을 1장 뽑고 다른 모든 '찌르기'의 비용이 1 감소한다.,15.5,15.5,15.5
,,관통,3,8,,,,,
,,관통,3,7,,,,,
,,관통,3,7,,,,,
보급,2,횡베기,,,,이 책장으로 피해를 10 이상 주면 빛을 2 회복하고 다른 모든 '횡베기'의 비용이 1 감소한다.,13.5,13.5,13.5
,,참격,5,9,적중,다음 막에 출혈 3 부여,,,
,,참격,5,8,적중,다음 막에 출혈 3 부여,,,
고급,2,기합,,,,,16,16,6
,,방어,8,12,,,,,
,,타격,5,7,적중,다음 막에 힘 3을 얻음,,,
한정,3,돌진,,,,"적을 처치하거나 흐트러짐 상태로 만들면, 이 책장을 무작위 적에게 다시 사용한다.",20,20,20
,,참격,14,26,,,,,
EGO,5,대절단 - 세로,,,,공격 적중시 다른 속도 주사위 슬롯에 장착하고 있는 대상의 전투 책장을 무작위로 하나 파괴한다.,29.5,29.5,29.5
,,참격,20,39,적중,다음 막에 출혈 3 부여,,,
EGO,6,대절단 - 가로,,,광역 합산,,35,35,35
,,참격,28,42,적중,다음 막에 출혈 5 부여,,,
샤오 전용 책장,,,,,,,,,
예술,4,금예,,,,,21.5,21.5,21.5
,,관통,15,28,적중,모든 적에게 화상 2 부여,,,
예술,5,휘몰아치기 - 애,,,광역 개별,일회성,19,19,19
,,참격,3,7,적중,화상 2 부여,,,
,,참격,8,20,적중,화상 2 부여,,,
EGO,2,포뢰,,,광역 개별,,7.5,7.5,7.5
,,타격,6,9,적중,"다음 막에 허약 1, 무장해제 1 부여",,,
EGO,4,애자,,,광역 개별,,,,
,,,,,사용시,"다음 막에 힘 2, 인내 2를 얻음",14,14,14
,,타격,5,10,적중,화상 1 부여,,,
,,타격,4,9,적중,화상 1 부여,,,
EGO,5,도철,,,광역 합산,,27.5,27.5,27.5
,,참격,25,30,적중,화상 8 부여,,,
검은침묵 전용 책장,,,,,,,,,
보급,0,느티나무 공방,,,,이 책장은 비용이 변하지 않는다,11.5,11.5,11.5
,,,,,사용시,책장을 1장 뽑음,,,
,,참격,4,8,,,,,
,,타격,3,8,,,,,
보급,0,랑아 공방,,,,이 책장은 비용이 변하지 않는다,15,15,15
,,관통,3,7,,,,,
,,관통,3,7,,,,,
,,참격,3,7,적중,다음 막에 출혈 2 부여,,,
보급,1,늙은소년 공방,,,사용시,"빛 3 회복, 책장을 1장 뽑음",13,13,6
,,방어,5,9,,,,,
,,타격,4,8,적중,흐트러짐 저항 5 회복,,,
고급,2,알라스 공방,,,합 시작시,대상 책장의 모든 주사위 위력 -2,13.5,13.5,13.5
,,관통,5,9,,,,,
,,관통,5,8,,,,,
고급,2,묵 공방,,,사용시,빛 3 회복. 책장을 1장 뽑음,11.5,11.5,11.5
,,참격,8,15,적중,대상에게 피해 3,,,
고급,2,로직 아틀리에,,,,,22,22,22
,,관통,4,8,,,,,
,,관통,5,8,,,,,
,,타격,7,12,,,,,
한정,2,뒤랑달,,,,,14,14,14
,,참격,5,9,적중,다음 막에 힘 1을 얻음,,,
,,참격,5,9,적중,다음 막에 힘 1을 얻음,,,
고급,3,크리스탈 아틀리에,,,,,33.5,24,24
,,회피,8,11,,,,,
,,참격,7,11,,,,,
,,참격,7,11,,,,,
,,참격',4,8,,,,,
한정,4,휠스 인더스트리,,,,,25.5,25.5,19
,,타격,14,24,합 승리,대상의 다음 주사위 파괴,,,
,,방어,5,8,,,,,
예술,3,Furioso,,,,이 책장은 검은 침묵의 전투 책장 9종류를 모두 사용했을 때만 사용 가능,29.5,29.5,29.5
,,,,,,"공격 적중 시 다음 막에 출혈 5, 속박 3, 취약 3 부여",,,
,,참격,20,39,합 승리,대상의 모든 주사위 파괴,,,
푸른잔향 전용 책장,,,,,,,,,
보급,0,라르고,,,,"이 책장으로 공명이 발동될 때, 책장을 1장 뽑음",13,13,7
,,,,,사용시,빛 1 회복,,,
,,방어,4,8,,,,,
,,참격,5,9,적중,대상의 진동이 6 이상이면 1 감소,,,
보급,2,알레그로,,,,"이 책장으로 공명이 발동될 때, 책장을 2장 뽑음",19.5,19.5,14
,,참격,5,9,적중,대상의 진동 2 증가,,,
,,타격,5,9,적중,대상의 진동 2 증가,,,
,,방어,4,7,,,,,
예술,2,공명하는 낫,,,사용시,자신의 속도가 대상이 가진 진동 수치와 같으면 이 책장의 모든 주사위 위력 +4,19.5,19.5,12.5
,,방어,5,9,,,,,
,,참격,5,8,적중,대상에게 피해 3,,,
,,타격,5,7,,,,,
예술,3,푸른 궤적,,,,이 책장을 사용하는 동안 서로의 주사위는 위력의 효과를 받지 않는다,19.5,19.5,12.5
,,참격,8,17,,,,,
,,방어,5,9,,,,,
예술,3,난무,,,광역 개별,,7,7,7
,,참격,5,9,적중,대상의 진동을 4로 변경,,,
푸른잔향 전용 책장(2차),,,,,,,,,
한정,1,공명 조절,,,전투 시작,이번 막 동안 공명 지속능력의 조건이 '대상의 진동이 4 이상' 으로 변경된다,11,11,11
,,참격,3,8,,,,,
,,타격,3,8,,,,,
예술,6,크레센도,,,광역 개별,일회성,23.5,23.5,23.5
,,,,,,3번째 막부터 사용 가능,,,
,,,,,사용시,손에 '대단원' 책장 추가,,,
,,관통,6,10,,,,,
,,참격,9,22,,이전 주사위를 적중시켰다면 피해량 50% 증가,,,
예술,6,대단원,,,광역 합산,,35,35,35
,,관통,30,40,,,,,
플루토 계약 책장,,,,,,,,,
예술,0,서명되지 않은 계약서 : 자유,,,조건,비용이 증가하거나 감소한 책장을 사용한다.,0,0,0
,,,,,계약 내용,매 막 마다 책장의 비용이 무작위로 변하지만 특정 비용의 책장을 사용하면 안된다.,,,
,,,,,장착시 발동,서명되지 않은 계약서를 손에 가진 아군을 대상으로 선택할 수 있다.,,,
,,,,,,서로의 계약서를 소멸시키고 다음 막 시작에 서로의 계약서를 교환하여 손에 추가한다.,,,
예술,0,서명되지 않은 계약서 : 빛,,,조건,감정 단계가 2인 상태로 막을 종료한다.,0,0,0
,,,,,계약 내용,매 막 마다 빛이 최대로 회복되지만 모든 빛을 소모해야 한다.,,,
,,,,,장착시 발동,서명되지 않은 계약서를 손에 가진 아군을 대상으로 선택할 수 있다.,,,
,,,,,,서로의 계약서를 소멸시키고 다음 막 시작에 서로의 계약서를 교환하여 손에 추가한다.,,,
예술,0,서명되지 않은 계약서 : 증폭,,,조건,"막 종료에 비용이 1,2,3인 책장이 모두 손에 있다.",0,0,0
,,,,,계약 내용,매 막 마다 특정 비용 책장의 위력 증가하지만 나머지 위력 감소.,,,
,,,,,장착시 발동,서명되지 않은 계약서를 손에 가진 아군을 대상으로 선택할 수 있다.,,,
,,,,,,서로의 계약서를 소멸시키고 다음 막 시작에 서로의 계약서를 교환하여 손에 추가한다.,,,
예술,0,서명되지 않은 계약서 : 신속,,,조건,수비 주사위로 합을 4번 승리한다.,0,0,0
,,,,,계약 내용,매 막 마다 신속을 얻지만 일방 공격을 하면 안된다.,,,
,,,,,장착시 발동,서명되지 않은 계약서를 손에 가진 아군을 대상으로 선택할 수 있다.,,,
,,,,,,서로의 계약서를 소멸시키고 다음 막 시작에 서로의 계약서를 교환하여 손에 추가한다.,,,
예술,0,서명되지 않은 계약서 : 힘,,,조건,힘을 가진 상태로 막을 종료한다.,0,0,0
,,,,,계약 내용,매 막 마다 힘을 얻지만 공격 주사위가 1개 이하인 책장만 사용해야 한다.,,,
,,,,,장착시 발동,서명되지 않은 계약서를 손에 가진 아군을 대상으로 선택할 수 있다.,,,
,,,,,,서로의 계약서를 소멸시키고 다음 막 시작에 서로의 계약서를 교환하여 손에 추가한다.,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
